01.地震04.火事	02.古文書	01.地震・津波	020.貞観地震（貞観11年5月26日）[869年7月13日]129.元禄地震（元禄16年11月23日）［1703年12月31日］134.宝永地震（宝永4年10月4日）［1707年10月28日］186.島原大変（寛政4年4月1日）[1792年5月21日]210.越後三条地震（文政11年11月12日）［1828年12月18日］228.善光寺地震（弘化4年3月24日）［1847年5月8日］234.小田原地震（嘉永6年2月2日）[1853年3月11日]235.伊賀上野地震（安政元年6月15日）[1854年7月9日]245.安政江戸地震（安政2年10月2日）［1855年11月11日］	有	01.和古書類	地震年代記	じしんねんだいき	31（含表紙）	17.8×11.5	浪花　文麗堂蔵板	1855	編年史料	和綴　1冊　見返し題：「大日本神代ヨリ　地震年代記」　神代から安政2年までの地震年代記、安政江戸地震について最も詳しい　絵図あり　「禁売」とあり　蔵書印あり（東京帝国大学図書・石本文庫）　	木版（多色刷）	15.東京	01.001-1	石本文庫26	L000001	35.689488	139.691706	35.689488	139.691706	 	 	 	 	 	 	 	 
01.地震	02.古文書	01.地震・津波	020.貞観地震（貞観11年5月26日）[869年7月13日]129.元禄地震（元禄16年11月23日）［1703年12月31日］228.善光寺地震（弘化4年3月24日）［1847年5月8日］234.小田原地震（嘉永6年2月2日）[1853年3月11日]235.伊賀上野地震（安政元年6月15日）[1854年7月9日]237.238.安政東南海地震（安政元年11月4,5日）[1854年12月23,24日]245.安政江戸地震（安政2年10月2日）［1855年11月11日］	有	01.和古書類	諸國地震年代記	しょこくじしんねんだいき	16（含表紙）	17.4×12.0	陰陽堂蔵	 	編年史料	和綴　1冊　安政江戸地震までの地震年代記（安政江戸地震について最も詳しい）、安政江戸地震の被害　絵図あり　蔵書印あり（東京帝国大学図書・石本文庫）　文書番号231と同一、文書番号1842も同じ内容だが表紙書入れの書名が「本朝地震記」になっている、（ID）L001152もほぼ同一だが末尾の1丁分を欠く　	木版	60.全国（諸国）	01.001-1	石本文庫27	L000002	 	 	 	 	恐震	 	 	 	 	 	 	 
01.地震04.火事	02.古文書	01.地震・津波	129.元禄地震（元禄16年11月23日）［1703年12月31日］134.宝永地震（宝永4年10月4日）［1707年10月28日］210.越後三条地震（文政11年11月12日）［1828年12月18日］	有	01.和古書類	本朝地震記　全	ほんちょうじしんき　ぜん	19（含表紙）	18.7×13.0	 	 	編年史料	和綴　1冊　文政期頃までの地震年代記（文政13年7月2日の地震について最も詳しい）　絵図あり　題箋欠　蔵書印あり（東京帝国大学図書・石本文庫）　文書番号1072，2161，（ID）L001158と同一	木版	60.全国（諸国）	01.001-1	石本文庫28	L000003	 	 	 	 	平安城 豊時成 編	 	 	 	 	 	 	 
01.地震04.火事	02.古文書	01.地震・津波	245.安政江戸地震（安政2年10月2日）［1855年11月11日］	有	01.和古書類	大江戸　地震後教　人事改正　平かな附	おおえど　じしんごきょう　じんじかいせい　ひらがなつき	5（除表紙）	17.5×11.5	大震堂	 	 	和綴　1冊　安政江戸地震の戯文集　「賣禁版」とあり　絵図あり　元の裏表紙を欠く　蔵書印あり（東京帝国大学図書・石本文庫）　文書番号2140とほぼ同一だが、2140には裏表紙・奥付あり、（ID）L001149は文書番号29と同じく奥付が無く同じ内容だが、版が違うもの	木版	15.東京	01.001-1	石本文庫29	L000004	35.689488	139.691706	35.689488	139.691706	南国 休應斎老人	安政2年10月2日	 	 	 	 	 	 
01.地震04.火事	02.古文書	01.地震・津波	245.安政江戸地震（安政2年10月2日）［1855年11月11日］	有	01.和古書類	江戸　大地震末代噺の種　全	えど　おおじしんまつだいはなしのたね　ぜん	16（含表紙）	17.3×11.0	 	 	 	折本　1冊　内題：関東大地震末代噺の種　安政江戸地震の被害や奇談　絵図あり　1紙目と裏表紙に墨書あり　1紙目破損　蔵書印あり（東京帝国大学図書・石本文庫）　文書番号1917，2482と同じ内容だが、1917，2482には乱丁箇所があり、形態も異なる	木版	15.東京	01.001-1	石本文庫30	L000005	35.689488	139.691706	35.689488	139.691706	 	安政2年10月2日	 	 	 	 	 	 
01.地震04.火事	02.古文書	01.地震・津波	245.安政江戸地震（安政2年10月2日）［1855年11月11日］	有	01.和古書類	安政息災記　全	あんせいそくさいき　ぜん	5（含表紙）	18.2×12.0	検調堂蔵	 	 	和綴　1冊　安政江戸大地震の被害　表紙に墨書あり　蔵書印あり（東京帝国大学図書・石本文庫）　文書番号395は版が異なる	木版	15.東京	01.001-1	石本文庫31	L000006	35.689488	139.691706	35.689488	139.691706	 	安政2年	 	 	 	 	 	 
01.地震	03.文書	01.地震・津波	272.濃尾地震（明治24 年10 月28日）[1891年]	有	01.和古書類	十二ヶ国大地しんくどき	じゅうにかこくおおじしんくどき	4（除表紙）	15.9×11.0	吉田栄吉（東京バクロ丁三丁目）	 	 	和綴　1冊　上・下合冊　下巻の書名：大ぢしんくどき　絵図あり　明治24年12月出版届　文書番号石本文庫32-2は版が異なる　蔵書印あり（東京帝国大学図書・石本文庫）	木版	20.富山（越中）21.石川（加賀．能登）22.福井（越前．若狭）24.山梨（甲斐）25.長野（信濃）26.岐阜（美濃．飛騨）27.静岡（駿河．遠江．伊豆）28.愛知（尾張．三河）29.三重（伊勢．伊賀．志摩）31.滋賀（近江）32.京都（山城．丹波．丹後）33.大阪（摂津．和泉．河内）	01.001-1	石本文庫32-1	L000007	 	 	 	 	 	明治24年10月28日	18911028	1891年10月28日	18911028	1891年10月28日	 	 
01.地震04.火事	02.古文書04.災害絵地図	01.地震・津波	245.安政江戸地震（安政2年10月2日）［1855年11月11日］	有	01.和古書類	江戸大地震并ニ出火場所細見録	えどおおじしんならびにしゅっかばしょさいけんろく	8（含表紙）	11.2×30.4	太平堂	1855	 	和綴　1冊　安政江戸地震の倒壊、出火場所について　絵図あり　「禁売」とあり　裏表紙に墨書「安政二年乙卯十月改」とあり　文書番号石本文庫257と同一	木版	15.東京	01.001-1	石本文庫33	L000008	35.689488	139.691706	35.689488	139.691706	千歳庵 述文	安政2年	 	 	 	 	 	 
04.火事	02.古文書	 	 	有	01.和古書類	大江戸焼場所明細之写　附出火方角画圖　戊午安政五年十一月十五日	おおえどやけばしょめいさいのうつし　つけたりしゅっかほうがくがず　ぼごあんせいごねんじゅういちがつじゅうごにち	4（含表紙）	11.4×29.7	 	 	 	和綴　1冊　安政5年11月15日の大火場所について　絵図あり　「禁賣買」とあり　蔵書印あり（印文不詳）	木版	15.東京	01.001-1	石本文庫34	L000009	35.689488	139.691706	35.689488	139.691706	 	安政5年11月15日	 	 	 	 	 	 
01.地震04.火事	02.古文書	01.地震・津波	245.安政江戸地震（安政2年10月2日）［1855年11月11日］	有	01.和古書類	地震類焼場所明細書之写　安政二卯年十月二日夜四ツ時過　御府内御屋敷方市中共、并街道筋近郷聞書	じしんるいしょうばしょめいさいしょのうつし　あんせいにうのとしじゅうがつふつかよるよつどきすぎ　ごふないおやしきかたしちゅうとも、ならびにかいどうすじきんごうききがき	7（含表紙）	11.9×30.5	 	 	 	和綴　1冊　安政江戸地震の倒壊、出火場所について　「禁賣」とあり	木版	15.東京	01.001-1	石本文庫35	L000010	35.689488	139.691706	35.689488	139.691706	 	安政2年10月2日	 	 	 	 	 	 
